USERNAME MOBILE;TYPE SALESMAN ;KODE SALESMAN;ID
lenteng2;TIDAK AKTIF;TIDAK AKTIF;LENTENG2
lenteng3;TIDAK AKTIF;TIDAK AKTIF;LENTENG3
lenteng4;TIDAK AKTIF;TIDAK AKTIF;LENTENG4
lenteng5;TIDAK AKTIF;TIDAK AKTIF;LENTENG5
lenteng6;TIDAK AKTIF;TIDAK AKTIF;LENTENG6
kamal1;MIX GT;SF-MJP01JK2-SLM021;KAMAL1
kamal2;EXCLUSIVE MT;SF-MJP01JK2-SLM034;KAMAL2
kamal3;MIX GT;SF-MJP01JK2-SLM001;KAMAL3
kamal4;TIDAK AKTIF;TIDAK AKTIF;KAMAL4
kamal5;TIDAK AKTIF;TIDAK AKTIF;KAMAL5
kamal6;EXCLUSIVE GT;SF-MJP01JK2-SLM032;KAMAL6
tgrlegok1;EXCLUSIVE GT;SF-MJP03-SLM042;TGRLEGOK1
tgrlegok2;MIX GT;SF-MJP03-SLM024;TGRLEGOK2
tgrlegok3;TIDAK AKTIF;TIDAK AKTIF;TGRLEGOK3
tgrlegok4;TIDAK AKTIF;TIDAK AKTIF;TGRLEGOK4
tgrlegok5;EXCLUSIVE GT;SF-MJP03-SLM041;TGRLEGOK5
tgrlegok6;TIDAK AKTIF;TIDAK AKTIF;TGRLEGOK6
tgrpskemis1;EXCLUSIVE GT;SF-MJP03TGRII-SLM010;TGRPSKEMIS1
tgrpskemis2;EXCLUSIVE GT;SF-MJP03TGRII-SLM011;TGRPSKEMIS2
tgrpskemis3;MIX GT;SF-MJP03TGRII-SLM008;TGRPSKEMIS3
pondokaren1;EXCLUSIVE GT;SF-MJP03-SLM045;PONDOKAREN1
pondokaren2;EXCLUSIVE GT;SF-MJP03-SLM046;PONDOKAREN2
pondokaren3;TIDAK AKTIF;TIDAK AKTIF;PONDOKAREN3
serang1;TIDAK AKTIF;TIDAK AKTIF;SERANG1
serang2;TIDAK AKTIF;TIDAK AKTIF;SERANG2
serang3;TIDAK AKTIF;TIDAK AKTIF;SERANG3
rangkasbitung1;MIX GT;SF-MJP02RKB-SLM004;RANGKASBITUNG1
rangkasbitung2;MIX GT;SF-MJP02RKB-SLM007;RANGKASBITUNG2
rangkasbitung3;TIDAK AKTIF;TIDAK AKTIF;RANGKASBITUNG3
jambi1;EXCLUSIVE GT;SF-HM014-W046;JAMBI1
jambi2;EXCLUSIVE MT;SF-AA016-UMSLS004;JAMBI2
jambi3;MIX GT;SF-HM014-SLM.SE.JAMBI 2;JAMBI3
jambi4;MIX GT;SF-HM014-SLM.MIX.JAMBI.LK 1;JAMBI4
jambi5;TIDAK AKTIF;TIDAK AKTIF;JAMBI5
jambi6;MIX GT;SF-HM014-KERINCI 1;JAMBI6
kerincibungo1;TIDAK AKTIF;TIDAK AKTIF;KERINCIBUNGO1
kerincibungo2;TIDAK AKTIF;TIDAK AKTIF;KERINCIBUNGO2
kerincibungo3;TIDAK AKTIF;TIDAK AKTIF;KERINCIBUNGO3
